"","x"
"1",10.2410039147932
"2",10.2520281930417
"3",10.8148666020663
"4",10.9364161621085
"5",10.0022126431035
"6",10.1529609323375
"7",10.5115590260535
"8",10.3761406026916
"9",10.8202209985085
"10",10.3265883360734
"11",10.9046342359985
"12",10.6489886238871
"13",9.83644322869704
"14",9.45938257595891
"15",10.6029064660534
"16",10.7539333617546
"17",10.6785398960471
"18",10.6563176486099
"19",10.0266184625369
"20",10.8005320118449
"21",10.2483435349254
"22",9.92112868445817
"23",10.2049799258841
"24",10.5513607171704
"25",10.8145114503455
"26",9.8271748280971
"27",9.48283576408263
"28",9.65838765977822
"29",9.8450639348819
"30",10.8394389824665
"31",10.3687837841768
"32",10.0764492137002
"33",10.3152981251614
"34",9.54913427743802
"35",9.40599913232822
"36",9.61986652230111
"37",10.0006959216393
"38",9.8254211288002
"39",9.69252237325931
"40",8.71961986034682
"41",9.3215730994929
"42",9.38487149557039
"43",8.36504178397051
"44",8.49203618241504
"45",8.44936993524234
"46",8.2850133105201
"47",8.89001013896686
"48",8.6850400042201
"49",8.30322742441441
"50",7.95059490699093
"51",8.21250927317124
"52",8.18417790597809
"53",8.58839751360115
"54",8.47068800098689
"55",8.52324563568824
"56",7.86255151295608
"57",8.36500085671967
"58",8.33776334616554
"59",8.07291509791247
"60",7.97114509125913
"61",8.26236485069191
"62",7.84407721623153
"63",7.49880035814096
"64",7.55427861154188
"65",7.87620808334913
"66",7.30941249543008
"67",7.8400705506932
"68",7.36850541619326
"69",7.54520004189069
"70",6.86971604504058
"71",7.2404132841039
"72",7.64960946157466
"73",7.33035086635807
"74",6.69934340364834
"75",6.90261455809697
"76",6.6062151464049
"77",6.91533238187294
"78",6.757371088627
"79",6.77911165495007
"80",7.34424653170126
"81",7.24362743489414
"82",7.03344127350547
"83",7.03063493486662
"84",6.5372461102248
"85",6.63060150102712
"86",7.28199305781836
"87",7.2847362924819
"88",6.57343721298104
"89",6.64444636355689
"90",7.10345523023413
